text,label
70 करोडको दम्ब हेर्नु ठुलो अनुहार ठुलो अनुहार ठुलो अनुहार ठुलो अनुहार कुन नेपाली जनताको तिमीहरूको भुस्सेहरु नेपाली जनताहरु,0
अाफु पदमा हुदा नियम कानुन अनुसासन नचाहिने अरूमा हुनु पर्ने साला गाेरू,0
हिजो दुइ तिहाइ घमण्ड गर्नेको बाहिरिय पछीको रोदन बिचरा उखाने पार्टी सकेन अहिले अरुले गर्दछु रोक्ने सहयोग नगर्ने अनि हुनछ देशमा बिकास अहिले अाएर ठिक लाग्यो सहि धमला सर,0
देस बाट सम्सोदिय ब्यबस्था खारेज जरुरी हैन देस हालत यस्तै रहन्छ,0
नैतिकता हराएको मान्छे,0
भनोस गोकुले काका राम्रो नेता,1
रिसाउने मात्रै कुट्न पर्ने घोटाला गर्या कारबाही गरे भैगो बारम्बार टचर कस्ले सहन्छ,0
गोकुल बास्कोटा ज्ञानेन्द्र शाही बिच छलफल गर्नुपर्ने भो ऋषिजी,2
हाजिरी जवाफ आको रिसि जि भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै,2
माननीय ज्यु बोलिमा परिवर्तन हुनुपर्छ,1
ल्याए भाे हाेईन लाै लेराअाे हाे देश जनताकाे हित हुदैन थाहा भाे काम रैनछ हाे खबरदार पास दिने हाेईन,2
७०कराेड ताेपकाे सलामि बाेर्राे,1
यस्तै नेतालाई चोर गाउँ घर,0
राजेन्द्र लिङ्देलले,2
सत्तरी करोडौंको सन्दर्भमा ऋषि धमलाले सत्र सोधिएको देखें धमलालाई प्रश्न हिजो सरकार हुँदा बिरोध गर्नेहरु अहिले सरकारमा छानबिन नगरेको भनेर सोध्ने काण्डहरु छानबिन नगरेको कहिले भनेर र्‍याखर्‍याकी पर्ने,2
नेपालीको रामराे हाे,1
सहि,1
प्रचण्ड देशका रोग,0
७० करोड भन्छौ नालायक तेस्ता किलिप्स प्रसारण पत्रुकार ऐले नेपाली काङ्ग्रेस केन्द्रिय सदस्य भको साला सब चुतिया,0
खराब नेता गोकुल,0
कानुन् मिचेर ७० करोड भ्रष्टचार गोकुल बास्कोटा राजिनामा दिनु,2
चोर देख्यो दिमाग तातियेर आउछ ठुलो अनुहार ठुलो अनुहार ठुलो अनुहार,0
जबरजस्तीको यार,0
यस्ता वहियात नेतालाइ ल्यार खेर फाल्नु धमला जि छि छि,0
याे गाेकुलेलाई हराउनुपर्छ,0
जति सकिन्छ सफाई दिउँ,1
प्रस्न गर्नै जान्दैन धमला जी,0
चोरको अन्तर्वार्ता आएछ ७० करोड चोर भुसडी हँसिलो आँखाहरु उज्यालो अनुहार,0
70 कारोड चोरको आगमन रहेछ गोकुल चोर देश छोड,0
बुडो गोरु जठौ भीरमा जाऊ थुक्क देशको नेता लाज पचेका बिदेशी डलरबादी देश पुरै धरशयमा पारिसक्यो,0
जेजे मान्छे सुन्दा मजा आउछ नीरस अनुहार नीरस अनुहार नीरस अनुहार नीरस अनुहार नीरस अनुहार नीरस अनुहार,1
क्या दिन्छ गोकुले ब्रो दुष्ट बाँदर नदेख्नुहोस् दुष्ट बाँदर नदेख्नुहोस्,2
70 करोड गोकुले ओलीले गर्दा खुप चुरी फुरी गरिरहेको लाज सरम नभएको,0
काभ्रेका बादसाह एमालेको ताकत गोकुल दाइको सुन्न मजा आउछ,1
७० करोड अलि बढी गफ दिन्छ,2
70 करोड भ्रष्टाचारि केपि पुच्छर,0
जस्ले जति सुकै भनेनि गाेकुल बमस्काेटालाई मैले माने,1
उखाने छोरो भन्दैमा 70 करोड वाला गोकुले हसाउनु पर्ने हिजो उसको पार्टी हुदा ठिक रे अहिले बाहिरिय सरकार सकेना रे कति हास्नु तिमीहरु उत्तम थम्ब्स अप भैसकेछ साप्ताहिक उखान टुक्का कारेक्रम चलाउदा राम्रो थम्ब्स अप ताली बजाउँदै,2
गुरु त्यस्तै चेला,2
गोकुल जि,2
मर्ने बेलामा लामो सास फेर्छ तेस्तै झुम्रेड,2
70 करोड नक्कली,2
चोरलाइ घरीघरी अन्तरबार्ताको बोलाउछौ धमला बुढा,2
७० करोडलाई बोल्न लाज लाग्दै बा,0
७० करोड धिक्कार तिम्रो विचार मुर्दावाद,0
आमा मामा नगर्नुस् धमला जी,2
रिशी धमलालाई लाजै यार 1000 राजेन्द्र लिङ्देललाई ल्याउ यार नेताहरुलाई नल्याउ यार दाइ,0
छिछिछिछि नालायक ल्याएकाे हाेला यार हेर्ने दिक्क खै ७० कराेड कता गयाे याे माधवकुमार शीत दाज्न मिल्छ ऋषि सरले ल्याएर अाफ्नाे खुट्टामा अाफै बन्चरो हान्दै हुनुहुन्छ है,1
गोकुल राज निति चहि कता,1
70 करोडको चुरीफुरी यत्रो,1
सब थोक गाली गर्छन् अहीले भोली आन्द्रा जोडछन् मुलाहरु,1
गोकुल बा आज चाहि हावा धमला सातो खायो,1
गोकुलेको पर्यायवाची सत्तरी करोड भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै,2
मान्छे कोल्याप्स गदिनु परो,0
गाउँको ठिट्टो,2
दलाल भगाउ देश बचाउ,0
70करोड अझ यिनले कति खायो,2
नालायक ७० करोड कता बाट,0
भतुवा 70 करोडलाई बेला बेला बोलाउछन मिडिया,0
सहि,0
चाईयो बोरा बोरा पैसा भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै,2
ए चुनाव चिन्न्ह गोकुल बास्कोटा,2
70 करोडले ठुलो ठुलो कुरो,2
चोरै उठेको भौंको अनुहार,0
भरष्ट चारिका खलक हरु कति चुनाब चुनाब भनेको,0
डलर सन्चितित 70 भा,2
हेरौला रे हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार क्मेदी च्याम्पियन जज मनोज सर सुनेर कमेन्ट भो करोड 70 करोड त्यस चोर उसैको ठुलो सोर इनि ठुलो चोर लाज सरम अझ ठुलो जनताले मलाइ भन्छ्न नहुने हँसिलो आँखाहरु उज्यालो अनुहार हँसिलो आँखाहरु उज्यालो अनुहार चुनाब जित्ने रे थु,2
स्वदेशी बिदेसी छदमबेसी सकिने भयो कडा,2
70 खाएर ठूलो,2
भ्रष्टाचारि डाका,0
70 करोड डाका काई,0
नक्कली टेप खुशीको आँसु अनुहार खुशीको आँसु अनुहार खुशीको आँसु अनुहार,2
चोर उसैको ठुलो सोर चुतिया ७० करोड,0
बोल्न चै निडर नेता गोकुल बास्कोटा ज्यु,2
बर्वरोट सुरु भयो हँसिलो अनुहार पसिना हँसिलो अनुहार पसिना हँसिलो अनुहार पसिना हँसिलो अनुहार पसिना हँसिलो अनुहार पसिना,0
70 करोड वाला अझ कति चुरिफुरी थुक्क,2
७० करोड बाडौ सोल्टि,2
रा प्र पा सह यात्रा एमाले,2
70 कति रोकिएकोमा रिसाउनु नेता ज्यु,2
चोर,0
लाज सरम चोर,0
गकुल 70 खरब चोर,0
गोकुले दिमागमा समस्या,2
चोर डाका,0
थूक्क यस्ता खुराफाती खड्केको हलिहरु लाइ मिडियामा स्थान दिने कोहि नपाएर खड्केको हलि प्रतिगामीको मतियार भएर क्रान्तिकारीसँग जोरी नखोज्,0
तामाङ,2
जनजाति जस्ता अहिलेसम्म दमनमा परेकाहरुलाइ कोटा छुटाउदा गाली गर्नेहरुले क्षमता नभएको मान्छे आउछन् रे तिमीहरूको नियम कानुनले यस्तै क्षमता मान्छे ल्याउछन,2
पागलपना,2
सन्सार कै नकचरो ७० करोड प्रमाण सहित आउदा घमण्ड भ्रष्ट सजाय हुनुपर्छ भन्नुस साथी,0
मन नपर्ने आकी हुं,0
ल हेर यस्को दम्भ,2
फटाहा बोलाएर छलफल,0
हेहेहे पागल साले 70 करोड मुजि यस्लाइ भेट्न् पाए,0
७० करोड बास्कोटा,2
बुढाले उखान टुक्का दिने रैछ,2
लाजपचेको ७० करोड,0
लाटा गाउको गाडा तन्नेरी नेता हरु,2
यिनै अनुहार अघि सारे एमाले पत्तासाफ निश्चित,2
70 करोड कम भयो,2
खातामा बोरा हाल्दिनुसत गोकुले चोर,0
गोकुल बास्कोटा सिधा एन्सर दिन्छ नेता चिप्लो ‌धस्दैन तेसैले मन,1
70 करोडको मुसो,0
नेताहरु भ्रष्टाचार गर्छन जनताको छोराछोरी बिदेशमा रुदै बस्नु परेको नेताहचै खान्छन,0
70 डाका,0
बो लकड … ओलीको लकड गोकुल जी,2
मुजि 70 करोड ल्याउनु मुजि धमला,0
70 ब्याज सहित 75पुगि सक्यो,2
तेरिमा ७०,0
आज एमाले सरकार भको लालपुर्जा पाईन्थ्यो गठबंधन सरकार डुबायो,2
डाका चोर फटाहा गोक्कुले,0
सत्तरी करोडका एक्ला मालिक गोप्ले काजि ज्यु सत्तरी जदौ गर्दछु भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै,2
काभेली जनता ढुकढुकी आदरणीय ७० करोड गाई अनुहार परेको गोरु,2
रिखी धमलाले सुर्जे गोकुले गेस्ट पाउदैन,2
चुनाव गु बास्कोटालाई काभ्रेली जनताले भोट दिएर जिताए काभ्रेको जिल्लाको 100 वर्ष विकास हुँदैन,0
अनलाइन मनोरञ्जन,1
यस्ता नेता पालेको केपि ओली,2
एमाले यस्तै नेता भएर चुनावमा 50 सिट आउदैन गफ मात्रै ठुलो यिनले काम नेपालका चोर नेताहरुको जनताको नाममा राजनीति छोडे जनता बुझ्ने भैसके चुनावमा हिसाब केपिको छोरो भएर जोगाको 70 करोड कान्डमा जरुर जेल जान्थे,0
70 कुमार,2
चुनाव माकुनेको हालत जन्तालाइ राम्रो थाछ १७000को कुरानै नगरुम,2
तेरो बाउ केपि बिर्ता ठग लाठा खानि,0
सहि तर्क गोकुल जि,1
माधब कुमारले चुनावजितेकाहुन् जितेर देखाउनु पर्याे ऋषि जि पत्रकार जि सहि विश्लेषण तपाइलाइ केले छेकेकाे खरखजना,2
एमाले कारण देस सकिने भयो ठूलो स्वरले रोइरहेको अनुहार ठूलो स्वरले रोइरहेको अनुहार,0
विदेशीको चम्चा,0
७९ करोड घ डी,2
हैन मान्छेलाइ जैल नकोचेको,2
७० करोड भ्रस्टाचार गर्नेको अन्तर्वार्ता सुनिरहनु,2
गोकुले बोल्नु किना सरम लाग्दैन 70 करोड भ्रष्टाचार कमिसन कान्ड प्रस्ट,0
सहि हकि मानछे लागछ,2
सितल बङुर फार्म,2
पाध्छ अाज 70 कराेड,2
70 करोड आवाज ल्याउनु बाहिरिनु कानुन सम्मत अनि चाहिँ माधब नेपाल कानुन बिपरित गरे पारा माधब नेपालको झोले हैन है झोले हरु,2
आउलास भोट माग्न भ्रस्टचारी 34 31 बाट भ्रस्टचारीको कुरो सुरु धमलाले,0
हेप्नि काेल्याप्स 70 कराेड जिन्दगी सताई रहने भयाे भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै,2
70 करोड आधा आधा गरुम काका कति बिदेश दुख लाइ दिन लाउछु सेटिङ मिलाउदै समर्थन ल्याउछु उनिहरुलाइ भाग दिनु पर्यो,2
चोरलाई झेल कहिले कोच्ने,0
नेपाली मन,2
लाज नभएको पागल चोर भर्ता चाहिँ खाने सम्सद बध लोकतन्त्र,0
पहिला ७०कोरोड बेक्तिले राजीनामा दिनुपर्छ एमालेलाई राम्रो बनाउनको एमालेमा राम्रा मान्छेहरू यस्ता,2
भष्ट्रचारीनेतालाई बर्खास्त गर्नुपर्छㅣ,0
ऋषि धमला काङ्ग्रेसको मान्छे भएरहाेला खालि शेरबहादुर काे गर्छन्,2
रिसि धमला काईते पत्रकार भयो खालि प्रचन्ड माकुनेको पक्षमा बोल्छ पत्रकारत जनताको पक्षमा हुनुपर्छनि,2
खरो प्रष्ट ठेट कुरो संकाहा नेता गकुल बास्कोटा,2
यस्लाइ देश निकाला गर्न्नुपर्छ,0
नन्द ओलि गाउले,2
७० करोडको मालिक कस्तो कस्तो कमेन्ट् आएको भनेर हेर्न आउने हुनुहुन्छ तिमीलाई माया तिमीलाई माया तिमीलाई माया,2
अहिले आफुले 70 करोड झ्वाम पार्न नपाएर रिसाउदै भतुवा,0
अलि राम्रो मान्छेहरुलाई लिएर अन्तर्वार्ताकर्ता गनुहोला,1
रिशी धमला लाज यस्ता खोका नेतालाई बोलाउछन भन्या,0
मैले कति भनौ भन्या किसान मजदुरलाई ल्याउनुस,2
भ्रस्टाचार नेतहारुलाई ल्याउनु अनि सोद्नु 70 करोड भनेर सोद्नेलाई लाज गर्नेलाई लाज,0
सहि गर्नुभयो,1
दिमाक तातेर आउछ भन्या सुन्दा,2
नेपाली राजनीतिको हक्की नेता गोकुल बास्कोटा रहेछ थाहा भयो है खुलम खुल्ला च्यालेन्ज गर्दा छानवीन नगर्या सरकार,2
याे चाेरलाई थाहा प्रचण्डले गर्दा खुलेआम सबैकाे बिराेध गर्नपाकाे भनेर,2
छि छि छि कोहि नभएको यहि चोर देख्नु परो यस्लाइ जेल मै कोच्नु परो 70 70 70 70 70 70 सातै चोटि 70 चोर,0
हिजो एमाले राजनीति हिरो थ्यो विस्तार खस्किदैछ किनकि एमालेको प्रमुख केपि स्वमं सत्ता रणनीतिज्ञ योजना अपनाउन सक्ने रहेछ कायर देशद्रोही केपि आज पक्ष ओकालत द्रुष्ठ योजना परिकल्पना गर्दैछ,2
केपी ओलि भफादार कु,2
याे गाेकुले खाते भ्रष्टाचारी बाेल्न लाज मान्दैन संसदमा हल्ला तलब भत्ता खान्छ जनताकाे पसिना खान्छ करु जनताकाे उहीँ खानु,0
केपि डाकाले याे गुखानेलाइ 70 कराेड घुस खान दियाे सम्सद चाहिदैन भनेर 2 2 सम्सद बिघठन गर्याे अनि बाेल्न याे डाकालाइ लाज लाग्दैन अाेलिवेसनमा पर्त्यक ब्यक्तिलाई 3000 हजारका दरले पैसा दियर खान चितवन घुम्न हेर्न गयका मान्छे मुला गु खाने,0
जस्ले जेसुकै भनेनी गोकुल कम्रेड बोलि दम उठाएको मुट्ठी उठाएको मुट्ठी उठाएको मुट्ठी उठाएको मुट्ठी उठाएको मुट्ठी,1
ऋषि धमलाको पत्रकारिता सकियो लाग्छ गठवन्धनको कार्यकर्ता वकालत थालेको मुस्कुराइरहेको अनुहार मुस्कुराइरहेको अनुहार मुस्कुराइरहेको अनुहार,0
तेरो बाउ ओलिले संविधानमै नभाको 2 चोटि सानसाद विघटन लोकत्रन्त धोस्त पार्न खोज्ने अपराधी हैन,0
पालामा पहिला पहिला खुब खेदो खन्थ्यो खोई विकास गर्या भनेर विकास नदेख्ने आँखाले ऋषिको अनि अहिले सरकारले गर्यो खोई अहिले धूलो अनि कच्ची सडक ओम पहिला एउटा खाल्डो नहुने सामाजिक सञ्जाल खुब देखिन्थ्यो अहिले खोई बोल्या धमला खुडेले सुसल्ने देश यस्तालाई,2
बोलीमा दम गोकुलबाको,1
ए ऋषि दा मुजी भ्रष्टलाई प्राइम टेलिभिजनमा ल्याउनु,0
ब्याकह्यान्ड अनुक्रमणिका दायाँ देखाउँदै ️ एमाले मुर्दावाद क्रोधित अनुहार क्रोधित अनुहार क्रोधित अनुहार,2
गोकुल बास्कोटा दि लेजेन्ड मुस्कुराइरहेको अनुहार,1
सफा मन गोकुल जी सलाम उठाएको मुट्ठी उठाएको मुट्ठी उठाएको मुट्ठी नेकपा एमाले जिन्दावाद उठाएको मुट्ठी उठाएको मुट्ठी सूर्य सूर्य सूर्य सूर्य,1
भ्रस्टाचारि येति घमण्ड ७० करोड पर्दाफास हुदा येति आत्मबल् ठुलो अनुहार,0
गोकुले भन्न बितिकै ७० करोड याद आउँछ ७० करोड ७० करोड,2
ब्याकह्यान्ड अनुक्रमणिका दायाँ देखाउँदै ️ ७० करोडको कति चुरिफुरी थुक्क देशका नैतिकता नभका चोर नेताहरू क्रोधित अनुहार क्रोधित अनुहार,0
ल्याको यसलाई सत्तरी करोडको अनुहार मन,0
सुकै भनेपनि गोकुल बास्कोटा काभ्रेको बाद्साह उठाएको मुट्ठी उठाएको मुट्ठी उठाएको मुट्ठी,1
मान्छेको थोप्डा देख्यो खोपडी गरम,0
यस्ता भ्रष्टहरुलाई रोजेर पठाउने जनता कस्ता भन्या,0
कति चुरिफुरी यस्को,2
औषधिमा भ्रष्टाचार महा पापी,0
मन नपर्ने मान्छेलाई बहिस्कार आएको येस्ता भ्रस्टाचारी नेताहरु सामाजिक संजालबाट सधैको बहिस्कार गरओ,0
गोकुलजीले भनिसके भ्रस्टाचार रहेछ भन्नेहरुकै सबथोक छानबिन प्रमाणिात देखाए भइहाल्यो,2
बोलेको 70 संसद विगठन अवस्थाको जड बिर्सेकाे,2
स्वच्छ असल राजनीति,1
समृद्ध नेपाल निर्माण नेपाल नेपाल,1
पास गठबन्धन जोगाउनको निमित्त मुखमा प्रतीकहरू अनुहार क्रोधित अनुहार ठुलो अनुहार,2
भ्रष्टाचारिलाई अन्तरबार्ता लिएको,0
चोरले चोर कदापि भन्दैन लाज पचेको ७० करोड वलिको पुच्छरको चुरिफुरी देख्दा उदेक लाग्छ,0
विना स्वार्थ लोभ लालच कम्युनिस्ट एकता जरुरी देशका,1
गोकुल काकालाई मान्नैपर्छ बा ७० करोडको टेप नक्कली रे दिउसै रात पार्ने मान्छेहरुको बोलबाल देशमा कति लाजै नमानी भन्न सकेको,2
७० करोड चोर आफु चोर राजिनामा सुरुक्क देको त् माग्ने बेलामा ७० करोड माग्ने चोर अईले आएर नकली भोइस रे,0
नेपाली समाज हुइयाॅको पछाडी दौडने समाजबाट कहिले उठ्ने,0
70 करोड कता कता लगानी भयो जानकारी पाईन्छकी,2
यिनले प्रश्न उठे पछी राजिनामा दियो रे नैतिकता देखायो साची यिनी सहि रहेछन् यिनका पि नैतिक्ता बेचेकै रहेछ कुरो यिनैले प्रमानित गरेछन््,2
धन्यवाद हात जोडेको,1
100 खाकोई 70 करोड छाती थोकेर किनकी खाली पुस्ती गर पुस्ती गर भन्छ,2
70 करोडको दम्ब हेर्नु ठुलो अनुहार ठुलो अनुहार ठुलो अनुहार ठुलो अनुहार कुन नेपाली जनताको तिमीहरूको भुस्सेहरु नेपाली जनताहरु,2
अाफु पदमा हुदा नियम कानुन अनुसासन नचाहिने अरूमा हुनु पर्ने साला गाेरू,0
हिजो दुइ तिहाइ घमण्ड गर्नेको बाहिरिय पछीको रोदन बिचरा उखाने पार्टी सकेन अहिले अरुले गर्दछु रोक्ने सहयोग नगर्ने अनि हुनछ देशमा बिकास अहिले अाएर ठिक लाग्यो सहि धमला सर,2
देस बाट सम्सोदिय ब्यबस्था खारेज जरुरी हैन देस हालत यस्तै रहन्छ,2
नैतिकता हराएको मान्छे,0
भनोस गोकुले काका राम्रो नेता,1
रिसाउने मात्रै कुट्न पर्ने घोटाला गर्या कारबाही गरे भैगो बारम्बार टचर कस्ले सहन्छ,0
गोकुल बास्कोटा ज्ञानेन्द्र शाही बिच छलफल गर्नुपर्ने भो ऋषिजी,2
हाजिरी जवाफ आको रिसि जि भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै भुइँमा लड्दै हाँस्दै,2
माननीय ज्यु बोलिमा परिवर्तन हुनुपर्छ,2
ल्याए भाे हाेईन लाै लेराअाे हाे देश जनताकाे हित हुदैन थाहा भाे काम रैनछ हाे खबरदार पास दिने हाेईन,2
७०कराेड ताेपकाे सलामि बाेर्राे,1
यस्तै नेतालाई चोर गाउँ घर,0
राजेन्द्र लिङ्देलले,2
सत्तरी करोडौंको सन्दर्भमा ऋषि धमलाले सत्र सोधिएको देखें धमलालाई प्रश्न हिजो सरकार हुँदा बिरोध गर्नेहरु अहिले सरकारमा छानबिन नगरेको भनेर सोध्ने काण्डहरु छानबिन नगरेको कहिले भनेर र्‍याखर्‍याकी पर्ने,2
नेपालीको रामराे हाे,1
सहि,1
भन्नु भो गोकुल जी,1
७० करोड भन्छौ नालायक तेस्ता किलिप्स प्रसारण पत्रुकार ऐले नेपाली काङ्ग्रेस केन्द्रिय सदस्य भको साला सब चुतिया,0
खराब नेता गोकुल,0
कानुन् मिचेर ७० करोड भ्रष्टचार गोकुल बास्कोटा राजिनामा दिनु,2
चोर देख्यो दिमाग तातियेर आउछ ठुलो अनुहार ठुलो अनुहार ठुलो अनुहार,2
जबरजस्तीको यार,2
यस्ता वहियात नेतालाइ ल्यार खेर फाल्नु धमला जि छि छि,0
याे गाेकुलेलाई हराउनुपर्छ,0
जति सकिन्छ सफाई दिउँ,2
प्रस्न गर्नै जान्दैन धमला जी,2
चोरको अन्तर्वार्ता आएछ ७० करोड चोर भुसडी हँसिलो आँखाहरु उज्यालो अनुहार,0
70 कारोड चोरको आगमन रहेछ गोकुल चोर देश छोड,0
बुडो गोरु जठौ भीरमा जाऊ थुक्क देशको नेता लाज पचेका बिदेशी डलरबादी देश पुरै धरशयमा पारिसक्यो,0
